|AIM                 |Aol Instant Message Button |
|Papaly              |Papaly Button - Personalized Social Bookmarking. |
|Pinboard            |Pinboard Button - Social bookmarking for introverts. |
|Pinterest           |Pinterest Button - A free website where users can upload, save, sort, and manage images—known as pins—and other media content. |
|Plurk               |Plurk Button - A free social networking and micro-blogging service that allows users to send updates (otherwise known as plurks) through short messages or links. |
|Pocket              |Pocket Button - Put articles, videos or pretty much anything into Pocket. |
|Polyvore            |Polyvore Button - A community-powered social commerce website. |
|Print               |Print Button - Print the content. |
|PrintFriendly       |PrintFriendly Button - Make any web page print friendly. |
|Protopage Bookmarks |Protopage Bookmarks Button - An RSS reader, virtual desktop, and Internet start page |
|Pusha               |Pusha Button - A site where members determine the content by posting and push (vote for) links. |
|Qzone               |Qzone Button - A Chinese social networking website. |
|Reddit              |Reddit Button - A social news aggregation, web content rating, and discussion website. |
|Rediff MyPage       |Rediff MyPage Button - An Indian news, information, entertainment and shopping web portal. |
|Refind              |Refind Button - Discover, save, and read what’s really worth your attention. |
|Renren              |Renren Button - A Chinese social networking service. |
|Segnalo             |Segnalo Button - An Italian social bookmarking site. |
|Sina Weibo          |Sina Weibo Button - A Chinese microblogging (weibo) website. |
|SiteJot             |SiteJot Button - A free online bookarmk manager / bookmark organizer. |
|Skype               |Skype Button -  An instant messaging app that provides online text message and video chat services. |
|Slashdot            |Slashdot Button - A social news website |
|SMS                 |SMS Button - Send content link via SMS. |
|StumbleUpon         |StumbleUpon Button - a discovery engine (a form of web search engine) that finds and recommends web content to its users. Its features allow users to discover and rate Web pages, photos and videos that are personalized to their tastes and interests using peer-sourcing and social-networking principles. |
|Stumpedia           |Stumpedia Button - Search for people by people. |
|Svejo               |Svejo Button - Bulgarian social news site. |
|Symbaloo Feeds      |Symbaloo Feeds Button - Discover and create your own feeds. |
|Telegram            |Telegram Button - Share via Telegram Messaging. |
|Trello              |Trello Button - Share to your Trello boards. |
|Tuenti              |Tuenti Button - Spain based social media. |
|Tumblr              |Tumblr Button - A microblogging and social networking website. |
|Twiddla             |Twiddla Button - Team Whiteboarding. |
|Twitter             |Twitter Button - An online news and social networking service where users post and interact with messages, tweets. |
|Viadeo              |Viadeo Button |
|Viber               |Viber Button -  A free, cross-platform instant messaging and voice over IP (VoIP) application |
|VK                  |VK Button - The largest European online social media and social networking service. |
|Wanelo              |Wanelo Button - A digital mall where people can discover and buy products on the internet. |
|WeChat              |WeChat Button - A Chinese social media (instant messaging, commerce and payment services) site. |
|WhatsApp            |WhatsApp Button - A freeware, cross-platform and end-to-end encrypted instant messaging application for smartphones |
|WordPress           |WordPress Button - Share to WordPress.org. |
|Wykop               |Wykop Button - A Polish social networking internet service. |
|XING                |XING Button - A career-oriented social networking site for enabling a small-world network for professionals. |
|Yahoo Bookmarks     |Yahoo Bookmarks Button - Allows you to store your bookmarks on Yahoo and access them from anywhere with an Internet connection. |
|Yahoo Mail          |Yahoo Mail Button - Share via Yahoo Mail. |
|Yahoo Messenger     |Yahoo Messenger Button - Share via Yahoo Messenger |
|Yoolink             |Yoolink Button - A customizable communication platform that enables you to create a corporate social network, to easily manage external communities or to boost your team productivity. |
|YouMob              |YouMob Button - Live mobs on the web. |
|Yummly              |Yummly Button - Personalized Recipe Recommendations and Search. |



